Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you",Please select your gender,Kindly select your age bracket,Please select your department from the list below,How would you rate the state of your mental well-being?,How would you rate the current state of your mental well-being?,"If you need support in Q6 above, please state what support you would need?",Please reflect on the mental Wellness related issues listed below and tick the areas you would like us to address on our regular sessions? (Select more than one if applicable),Mental Wellness Issues Would Like Addressed - Emotional intelligence,Mental Wellness Issues Would Like Addressed - Financial constraints,Mental Wellness Issues Would Like Addressed - Trauma,Mental Wellness Issues Would Like Addressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Addressed - Relationship Difficulties,Mental Wellness Issues Would Like Addressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Addressed - Anxiety and Depression,Mental Wellness Issues Would Like Addressed - Other (please specify),Are you going through a tough emotional situation right now?,"During the past 4 weeks, have you had any problems with your work or daily life due to any emotional problems, such as feeling depressed, sad, or anxious?","During the past 4 weeks, how often has your mental health affected your ability to get work done?","During the past two weeks, how often has your mental health affected your relationships?",Have you ever been diagnosed with a mental disorder before?,Have you seen a therapist in the recent past?,Is there a history of mental disorder in your family?,Do you feel content with your relationships and family?,When was the last time you were really happy?,When was the last time you felt good about yourself?,How often do you feel positive about your life?,When was the last time you had a positive outlook on life?,How many hours do you sleep per day?,How is your quality of sleep?,How often do you smoke?,How often do you drink?,How do you usually cope with the general stresses of life and the mental health challenges that come your way?,Coping Mechanisms - Other (please specify),"What about the amount of social support you receive from your family, friends, etc? When you have the need to talk to someone or go on outings with friends and/or relatives, do you feel there is someone who fulfills these needs?",Have you ever attended a Mental Health Awareness Session?,How would you prefer to receive information and advice about mental health?,Preferred Method of Receiving Mental Health Information - Other (please specify),Are you aware of the Employee Assistance Program services offered by Kenya Airways to all its staff and dependents through Minet?,"EAP Awareness & Usage - If yes to Question 29, have you ever accessed the service?","EAP Awareness & Usage - If no, please state the reason.",Would you like us to link you or your dependents to our professional counselors for support?
114746735041.0,I Agree,Male,40-49 years,Cargo,Very Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few years ago,7 - 9,Good,Never,Never,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,No,Group session,,Yes,No,I HAVE NEVER HAD AN  ISSUE WHICH REQUIRES THAT SERVICE,Yes
114746736812.0,I Agree,Male,40-49 years,Human Resources,Excellent,I’m just there,"Our shift pattern should be looked into by the safety office, its introducing pressure into our lives coz its not predictable. Poor shift compensation",Work/job related stressors,,Financial constraints,,,,,Anxiety and Depression,irregular shift patterns,Not Sure,Yes,Not at all,Somewhat often,No,No,No,Yes,I don't remember,Few years ago,Once in a while,Few days ago,4 - 6,OK,Never,Never,I seek for available options online,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,Online,,Yes,No,"The explanation i have received relating to it is that, its primarily for those soaked in alcohol related addictions/issues",No
114746781533.0,I Agree,Female,25-39 years,Commercial,Good,I’m just there,,Work/job related stressors,,Financial constraints,,,Relationship Difficulties,,Anxiety and Depression,,Not Sure,Yes,Not so often,Not so often,No,No,No,Yes,Few days ago,I don't remember,About half the time,Few days ago,4 - 6,Good,Never,Once in a few weeks,,,,,,,,,,
114746780644.0,I Agree,Male,25-39 years,Flight Operations,Very Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,,Anxiety and Depression,,No,Yes,Not at all,Not so often,No,No,No,Yes,Few weeks ago,Few days ago,Most of the time,Few days ago,4 - 6,OK,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,No,One on One session,,Yes,No,No guarantee of true privacy,No
114746771697.0,I Agree,Male,40-49 years,Information Technology,Very Good,I am OK and coping well,,Work/job related stressors,,,,,,,,,Not Sure,Yes,Not at all,Not at all,No,No,No,Yes,Few weeks ago,Few weeks ago,Once in a while,Few weeks ago,,,,,,,,,,,,,,
114746772922.0,I Agree,Female,40-49 years,Technical,Very Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,,,"ON A SERIOUS NOTE,TACKLE CHILDLESSNESS.",No,No,Not at all,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Very Good,Never,Never,I seek help from my religious leader,,Above average degree of social support (Given or potentially available from family and friends).,Yes,One on One session,THESE ENABLES SOMEONE TO OPEN UP,Yes,No,NO PROPER INFORMATION,No
114746773170.0,I Agree,Female,25-39 years,Ground Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114746762523.0,I Agree,Male,25-39 years,Ground Operations,Good,I’m just there,PSYCHOLOGIGAL AWARENESS GUIDANCE AND PROFESSIONAL GUIDANCE,Work/job related stressors,,Financial constraints,,,Relationship Difficulties,,Anxiety and Depression,,Yes,Yes,Not so often,Very often,No,No,No,No,Few months ago,Few weeks ago,Once in a while,Few months ago,4 - 6,OK,Never,Once in a few weeks,I seek for available options online,"Further keeping my self engaged in activities like hiking,cycling or walking","Below average degree of social support (While some support is available, it's not consistently available).",No,Online,,Yes,No,The lack of trust on the confidentiality of the process.,No
114746771429.0,I Agree,Female,25-39 years,Technical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114746771318.0,I Agree,Male,25-39 years,Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114746731975.0,I Agree,Male,25-39 years,Commercial,Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,Relationship Difficulties,,,How to deal with the loss of a loved one,No,Yes,Not so often,Somewhat often,No,Yes,No,Yes,Few years ago,Few years ago,Most of the time,Few months ago,7 - 9,OK,Never,Never,I keep my issues to myself,"It depends on the issues, some i keep to myself, others a can engage my spouse",Average degree of social support from family and friends is given or potentially available.,Yes,Group session,,Yes,Yes,,No
114746761064.0,I Agree,Male,40-49 years,Ground Operations,Good,I am OK and coping well,no,Work/job related stressors,,,,,,,Anxiety and Depression,,Not Sure,Yes,Not so often,Not so often,No,No,No,Yes,Few months ago,Few weeks ago,About half the time,Few days ago,7 - 9,OK,Never,Never,I keep my issues to myself,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,No,,,Yes
114746762345.0,I Agree,Male,50+ years,Human Resources,Very Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,,,,No,No,Not at all,Not at all,No,No,No,No,Few weeks ago,Few months ago,Most of the time,Few weeks ago,4 - 6,Bad,Never,Once in a few weeks,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",No,One on One session,,Yes,No,,Yes
114746763276.0,I Agree,Female,25-39 years,Flight Operations,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,,Substance and Drug Dependence,,Unresolved Childhood Difficulties,Anxiety and Depression,,No,No,Not at all,Not at all,No,No,No,Not Sure,Few days ago,Few days ago,Always,Few days ago,7 - 9,Bad,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,No,Online,,Yes,No,Never had a mental health problem ,No
114746759464.0,I Agree,Male,40-49 years,Technical,Good,I am OK and coping well,Positivity,Work/job related stressors,,Financial constraints,,,,,Anxiety and Depression,,Not Sure,Not Sure,Not so often,Not at all,No,No,Not sure,Yes,Few months ago,Few months ago,Once in a while,Few months ago,7 - 9,OK,Never,Once in a few weeks,I engage relatives and friends,I get a dis-tractor,Average degree of social support from family and friends is given or potentially available.,Yes,Group session,,Yes,No,Never had the reason to.,Yes
114746744150.0,I Agree,Female,25-39 years,Technical,Fair,I am OK and coping well,,,Emotional intelligence,,,,,,,,No,No,Not so often,Not so often,No,No,No,No,Few days ago,Few days ago,About half the time,Few days ago,7 - 9,Good,Never,Once in a few weeks,I engage relatives and friends,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,Group session,,Yes,No,no reason to seek help,No
114746760293.0,I Agree,Female,40-49 years,Flight Operations,Good,I am OK and coping well,,Work/job related stressors,,,,,,,,,Yes,Not Sure,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Never,I engage relatives and friends,None so far,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Group session,,Yes,,,
114746755599.0,I Agree,Female,25-39 years,Managing Director's Office,Excellent,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,,,,,,,No,No,Not so often,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few weeks ago,4 - 6,Good,Never,Never,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,No,Online,,No,,,No
114746751436.0,I Agree,Female,25-39 years,Ground Operations,Fair,I’m just there,,,,Financial constraints,,,,Unresolved Childhood Difficulties,,,No,Yes,Not so often,Somewhat often,No,No,Not sure,Yes,I don't remember,Few years ago,Once in a while,Few months ago,7 - 9,Not Sure,Never,Once in a few weeks,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",No,Online,,Yes,No,Knew about it recently ,Yes
114746752064.0,I Agree,Male,40-49 years,Human Resources,Excellent,I am OK and coping well,,,,Financial constraints,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few weeks ago,4 - 6,OK,Never,Never,I keep my issues to myself,,Above average degree of social support (Given or potentially available from family and friends).,Yes,One on One session,,Yes,Yes,,Yes
114746754558.0,I Agree,Female,40-49 years,Ground Operations,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,,,,Unresolved Childhood Difficulties,Anxiety and Depression,,No,No,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,OK,Never,Once in a few weeks,I seek help from my religious leader,,"Below average degree of social support (While some support is available, it's not consistently available).",No,One on One session,,Yes,No,Honestly i have never seen the need,Yes
114746750129.0,I Agree,Female,25-39 years,Ground Operations,Very Good,I am OK and coping well,,,,,,,,,,address people leaving with chronic illness,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,7 - 9,Good,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,Yes,No,,No
114746756017.0,I Agree,Female,25-39 years,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114746746591.0,I Agree,Male,40-49 years,Technical,Fair,I am not OK,,,,,,Substance and Drug Dependence,,,,,No,Not Sure,Not so often,Not at all,No,No,Yes,Not Sure,Few months ago,Few days ago,Once in a while,Few months ago,9+,Very Good,Never,Once everyday,I keep my issues to myself,,No support or potential support is available from either family or friends,Yes,Group session,,No,,,No
114746749955.0,I Agree,Female,40-49 years,"Legal, Risk and Compliance",Very Good,I’m just there,,Work/job related stressors,Emotional intelligence,,,,,,,,Not Sure,Yes,Somewhat often,Not so often,No,Yes,No,Yes,I don't remember,I don't remember,Once in a while,I don't remember,4 - 6,OK,Never,Once in a few weeks,I seek for available options online,,Average degree of social support from family and friends is given or potentially available.,Yes,One on One session,,Yes,Yes,,No
114746747545.0,I Agree,Female,40-49 years,Managing Director's Office,Good,I’m just there,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Substance and Drug Dependence,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Not Sure,Yes,Somewhat often,Somewhat often,No,No,No,Not Sure,Few weeks ago,Few days ago,Once in a while,Few weeks ago,7 - 9,Good,Never,Once in a few weeks,I keep my issues to myself,i sleep,Average degree of social support from family and friends is given or potentially available.,No,One on One session,,Yes,No,Non,No
114746737566.0,I Agree,Female,25-39 years,Commercial,Fair,I’m just there,,Work/job related stressors,,Financial constraints,,,,,,,Not Sure,Yes,Not so often,Somewhat often,No,Yes,No,Not Sure,Few months ago,Few days ago,Once in a while,Few months ago,7 - 9,OK,Never,Once in a few weeks,I engage relatives and friends,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,Online,,Yes,Yes,,No
114746743647.0,I Agree,Female,40-49 years,Commercial,Good,I’m just there,Hostile environment- Job rotation may help,Work/job related stressors,Emotional intelligence,,,,,,,,No,Yes,Not so often,Not so often,No,No,No,Yes,Few days ago,Few weeks ago,Most of the time,Few months ago,4 - 6,Good,Never,Once in a few weeks,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Group session,,Yes,No,I think i can handle my issues. I haven't reached the level to that need assistance.,No
114746750241.0,I Agree,Male,50+ years,Managing Director's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114746746512.0,I Agree,Female,40-49 years,Human Resources,Very Good,I’m just there,,Work/job related stressors,,,,,,,,,No,No,Not so often,Not so often,No,Yes,Yes,Yes,Few months ago,Few months ago,Once in a while,Few months ago,4 - 6,OK,Never,Never,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,Yes,Group session,,Yes,Yes,,No
114746740842.0,I Agree,Male,25-39 years,Flight Operations,Good,I am OK and coping well,nil,Work/job related stressors,,Financial constraints,,,Relationship Difficulties,,,,No,No,Not at all,Somewhat often,No,No,No,Not Sure,Few days ago,Few days ago,Always,Few days ago,4 - 6,Very Good,Never,Never,I keep my issues to myself,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,One on One session,,Yes,No,I keep for myself.,Yes
114746740106.0,I Agree,Male,50+ years,Commercial,Excellent,I’m just there,Annual check ups,Work/job related stressors,,,,,,,Anxiety and Depression,,Yes,Yes,Not so often,Not so often,No,No,No,Yes,Few weeks ago,Few weeks ago,Most of the time,Few weeks ago,4 - 6,Not Sure,Once in a few weeks,Once in a few weeks,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,No,One on One session,,No,,,No
114746743655.0,I Agree,Male,25-39 years,Technical,Poor,I am not OK,nil,Work/job related stressors,Emotional intelligence,,,,Relationship Difficulties,,Anxiety and Depression,,Not Sure,Yes,Somewhat often,Somewhat often,No,No,No,Yes,Few days ago,Few weeks ago,About half the time,I don't remember,4 - 6,Good,Once in a few weeks,Once in a few weeks,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,One on One session,,No,,,Yes
114746735953.0,I Agree,Male,50+ years,Managing Director's Office,Excellent,I am OK and coping well,,,,,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,7 - 9,Very Good,Once in a few weeks,Once in a few weeks,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,Yes,No,,No
114746738141.0,I Agree,Male,40-49 years,Commercial,Fair,I’m just there,"Company financial support for me in international station to engage in sports such as gym or golf membership to enable me to socialize, network and physically work out.",Work/job related stressors,,,,,,,,Financial support for international staff to engage in physical activities such as gym or golf membership.,Not Sure,No,Not so often,Not so often,No,No,No,Yes,Few months ago,Few days ago,About half the time,Few days ago,4 - 6,Bad,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,No,Group session,,Yes,No,The company will not cater for my travel to Kenya for the service.,No
114746740982.0,I Agree,Male,25-39 years,Finance,Fair,I’m just there,"Therapy, Guidance",Work/job related stressors,Emotional intelligence,Financial constraints,,,,,Anxiety and Depression,,Not Sure,Yes,Not so often,Somewhat often,No,No,No,Not Sure,Few weeks ago,Few weeks ago,About half the time,Few weeks ago,7 - 9,Not Sure,Never,Once in a few weeks,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,Yes,One on One session,,Yes,No,No ample time to do so,No
114746740711.0,I Agree,Female,25-39 years,Flight Operations,Good,I’m just there,Life Coach,,Emotional intelligence,,,,Relationship Difficulties,,,Anxiety,No,No,Not so often,Somewhat often,No,Yes,Yes,Not Sure,Few days ago,Few days ago,About half the time,Few months ago,7 - 9,Bad,Never,Once in a few weeks,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,One on One session,,Yes,Yes,,No
114746738046.0,I Agree,Female,25-39 years,Flight Operations,Good,I’m just there,,Work/job related stressors,Emotional intelligence,,,,,Unresolved Childhood Difficulties,Anxiety and Depression,,Not Sure,Yes,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,About half the time,Few days ago,4 - 6,OK,Never,Once in a few weeks,I engage relatives and friends,,"Below average degree of social support (While some support is available, it's not consistently available).",No,Online,,Yes,Yes,,Yes
114746739948.0,I Agree,Female,40-49 years,Ground Operations,Fair,I’m just there,therapy,Work/job related stressors,Emotional intelligence,Financial constraints,,,Relationship Difficulties,Unresolved Childhood Difficulties,,l love my job but the disruptions are causing extreme exhaustion and a mental toll on me,Yes,Yes,Not so often,Somewhat often,No,No,No,No,I don't remember,I don't remember,Once in a while,I don't remember,Less than 4,Not Sure,Never,Never,I keep my issues to myself,try listen to music,No support or potential support is available from either family or friends,No,One on One session,not sure as yet,Yes,No,"my job ,l will be handlung disruptions or sleeping trying to catch up on my slp",No
114746738450.0,I Agree,Female,25-39 years,Commercial,Good,I am OK and coping well,,Work/job related stressors,,,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,OK,Never,Once in a few weeks,I engage relatives and friends,I pray and put it all in god's hands ,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,Yes,No,Because I haven't needed it yet. My family and friends are very supportive and always there when I need them,No
114746740023.0,I Agree,Female,25-39 years,Cargo,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,Trauma,,,,,,Not Sure,Yes,Not so often,Somewhat often,No,No,No,Not Sure,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Bad,Never,Never,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,Yes,One on One session,,Yes,No,I have never thought of going there,No
114746736526.0,I Agree,Female,40-49 years,Managing Director's Office,Good,I need support,I. Would like to know if I have any childhood traumas that might be affecting me now and also how to deal with a toxic work environment ,Work/job related stressors,Emotional intelligence,,Trauma,,Relationship Difficulties,,,,Yes,No,Not so often,Not so often,No,No,No,Not Sure,Few months ago,Few years ago,About half the time,Few days ago,4 - 6,OK,Never,Never,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,Online,,Yes,No,I really don't know how to share my issues,Yes
114746733499.0,I Agree,Male,25-39 years,Technical,Very Good,I’m just there,,Work/job related stressors,,Financial constraints,Trauma,,Relationship Difficulties,,Anxiety and Depression,,No,Yes,Not so often,Not so often,No,No,No,Yes,Few years ago,Few years ago,Once in a while,Few months ago,4 - 6,Good,Never,Never,I keep my issues to myself,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,Yes,No,Never followed up,Yes
114746732804.0,I Agree,Male,40-49 years,Technical,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,,,Relationship Difficulties,,,,No,No,Not so often,Somewhat often,No,No,No,Yes,Few weeks ago,Few days ago,Once in a while,Few weeks ago,7 - 9,Good,Never,Never,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,Yes,Group session,,Yes,No,Have not had any mental challenge ,No
114746733005.0,I Agree,Male,25-39 years,Ground Operations,Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,,,,,No,No,Not at all,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,OK,Never,Never,I seek help from my religious leader,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,Yes,Yes,,No
114746735341.0,I Agree,Male,18-24 years,Managing Director's Office,Very Good,I am OK and coping well,,,Emotional intelligence,Financial constraints,,,Relationship Difficulties,,Anxiety and Depression,,No,No,Not so often,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Good,Never,Never,I seek help from a processional counselor,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Group session,,Yes,No,,Yes
114746729309.0,I Agree,Female,40-49 years,Commercial,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,,Relationship Difficulties,,,,Not Sure,Yes,Somewhat often,Not so often,No,Yes,No,Not Sure,Few years ago,Few months ago,About half the time,Few months ago,4 - 6,OK,Never,Never,I seek for available options online,,Average degree of social support from family and friends is given or potentially available.,Yes,Online,Webinars,Yes,Yes,,No
114746732616.0,I Agree,Female,40-49 years,Technical,Very Good,I am OK and coping well,,Work/job related stressors,,,,,,,,,No,Yes,Somewhat often,Somewhat often,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,7 - 9,Good,Never,Never,I engage relatives and friends,journaling,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,books,Yes,No,never needed to ,No
114746733455.0,I Agree,Male,40-49 years,Flight Operations,Good,I’m just there,A few days of leave/break,,Emotional intelligence,Financial constraints,,,Relationship Difficulties,,Anxiety and Depression,Self-esteem/self-worth,Yes,Yes,Not at all,Not so often,No,Yes,No,Yes,Few years ago,Few years ago,Once in a while,Few years ago,4 - 6,Bad,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,Yes,Online,,Yes,Yes,,Yes
114746736104.0,I Agree,Male,25-39 years,Flight Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114746730691.0,I Agree,Female,25-39 years,Ground Operations,Fair,I am not OK,More support at my place of work ,Work/job related stressors,,Financial constraints,,,,Unresolved Childhood Difficulties,,,Yes,Yes,Somewhat often,Somewhat often,No,Yes,Not sure,No,I don't remember,I don't remember,Once in a while,Few years ago,4 - 6,Bad,Never,Once in a few weeks,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",No,One on One session,,Yes,No,I don't know how to reach them ,Yes
114746735790.0,I Agree,Female,25-39 years,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114746729795.0,I Agree,Male,25-39 years,Commercial,Good,I’m just there,,Work/job related stressors,,Financial constraints,,,,,,,No,No,Not so often,Not so often,No,No,No,Yes,I don't remember,Few months ago,Once in a while,I don't remember,7 - 9,Good,Never,Once in a few weeks,I seek for available options online,,Average degree of social support from family and friends is given or potentially available.,Yes,Online,,Yes,No,,No
114746731637.0,I Agree,Female,25-39 years,Ground Operations,Good,I am OK and coping well,,Work/job related stressors,,,Trauma,,,,Anxiety and Depression,,No,Not Sure,Not so often,Not so often,No,No,No,Yes,Few weeks ago,Few days ago,Always,Few days ago,4 - 6,OK,Never,Once in a few weeks,I keep my issues to myself,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,One on One session,,Yes,No,,No
114746732386.0,I Agree,Female,25-39 years,Information Technology,Fair,I’m just there,Planning on getting therapy,,,,,,,Unresolved Childhood Difficulties,Anxiety and Depression,,Not Sure,No,Somewhat often,Not so often,No,No,Not sure,Not Sure,Few days ago,Few weeks ago,About half the time,Few weeks ago,4 - 6,Bad,Never,Once in a few weeks,I seek for available options online,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,Group session,,No,,,
114746729958.0,I Agree,Male,25-39 years,Ground Operations,Very Good,I am not OK,,Work/job related stressors,Emotional intelligence,,,,,,,,No,Yes,Not so often,Not so often,No,No,No,Yes,Few weeks ago,Few weeks ago,Always,Few weeks ago,4 - 6,Good,Never,Never,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,Yes,Group session,,No,,,No
114746734580.0,I Agree,Male,40-49 years,Technical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114746734349.0,I Agree,Female,25-39 years,Flight Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114746730670.0,I Agree,Male,40-49 years,Ground Operations,Excellent,I am OK and coping well,,,,,,,Relationship Difficulties,,,,No,No,Not at all,Somewhat often,No,Yes,No,No,Few days ago,Few days ago,Once in a while,Few weeks ago,Less than 4,Very Bad,Never,Once in a few weeks,I seek help from a processional counselor,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,One on One session,,Yes,Yes,,No
114746730633.0,I Agree,Male,40-49 years,Ground Operations,Good,I am OK and coping well,,,,Financial constraints,,,Relationship Difficulties,,,work balance challenges,No,Yes,Not at all,Not at all,No,No,No,Yes,Few weeks ago,Few days ago,Most of the time,Few months ago,4 - 6,Good,Never,Never,,,,,,,,,,
114746731441.0,I Agree,Male,40-49 years,Technical,Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,,,,,Not Sure,Not Sure,Not so often,Not so often,No,No,No,Yes,,,,,,,,,,,,,,,,,,
114746730107.0,I Agree,Female,25-39 years,Finance,Good,I’m just there,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Not Sure,No,Not so often,Not so often,No,No,Not sure,Not Sure,Few months ago,Few months ago,About half the time,Few months ago,4 - 6,OK,Never,Never,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,Yes,Online,,No,,,No
114746729643.0,I Agree,Male,18-24 years,"Corporate Quality, Safety & Environment",Very Good,I am OK and coping well,,,Emotional intelligence,,,,,,Anxiety and Depression,,Not Sure,No,Not at all,Not at all,No,No,No,Not Sure,Few weeks ago,Few days ago,Most of the time,I don't remember,7 - 9,Good,Never,Never,I keep my issues to myself,,Above average degree of social support (Given or potentially available from family and friends).,No,Online,,Yes,No,,No
114746730843.0,I Agree,Female,25-39 years,Commercial,Poor,I am not OK,,Work/job related stressors,Emotional intelligence,,,,,,Anxiety and Depression,,Yes,Yes,Very often,Very often,No,No,No,No,I don't remember,I don't remember,Never,I don't remember,7 - 9,Very Good,Never,Once in a few weeks,I keep my issues to myself,,No support or potential support is available from either family or friends,No,Online,,No,,,Yes
114746732443.0,I Agree,Male,25-39 years,Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114746729087.0,I Agree,Male,50+ years,Cargo,Very Good,I am OK and coping well,,,Emotional intelligence,,,,,,,,No,No,Not so often,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,OK,Never,Once in a few weeks,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,No,Online,,No,,,No
114746729340.0,I Agree,Female,25-39 years,Finance,Good,I am OK and coping well,,,Emotional intelligence,Financial constraints,Trauma,,Relationship Difficulties,Unresolved Childhood Difficulties,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,One on One session,,Yes,No,,Yes
114746731228.0,I Agree,Female,25-39 years,Flight Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114746730300.0,I Agree,Female,25-39 years,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114746730043.0,I Agree,Male,25-39 years,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114746729560.0,I Agree,Female,40-49 years,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114746729177.0,I Agree,Male,40-49 years,Technical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114746729617.0,I Agree,Female,25-39 years,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114746729000.0,I Agree,Female,25-39 years,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
